it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
     110  7.06676133E-01  7.23911844E-03   9.00000000E+05  2.59348898E-13  3.42402495E-12 -6.82328238E-14  6.03451146E+05 -1.72333935E-15 -2.13885984E-16 -1.97833818E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.60E+05  2.00E+00  1.33E+00  6.84E-03
     112  7.19524790E-01  7.23911828E-03   9.00000000E+05  2.84214140E-13  3.46087048E-12 -7.05426665E-14  6.03451167E+05 -2.38009482E-15 -2.28251662E-16 -2.07148794E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.72E+05  2.00E+00  1.23E+00  6.34E-03
     114  7.32373447E-01  7.23911813E-03   9.00000000E+05  9.23640233E-14  3.62201935E-12 -7.62843226E-14  6.03451188E+05 -2.66041529E-15 -2.42671551E-16 -2.16528927E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.72E+05  2.00E+00  1.23E+00  6.35E-03
     116  7.45222104E-01  7.23911798E-03   9.00000000E+05  1.38547594E-13  3.59837160E-12 -7.92979624E-14  6.03451208E+05 -2.63808073E-15 -2.55709082E-16 -2.26044869E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.57E+05  2.00E+00  1.35E+00  6.94E-03
     118  7.58070761E-01  7.23911783E-03   9.00000000E+05  2.13155692E-13  3.85434740E-12 -8.56237544E-14  6.03451229E+05 -2.48781030E-15 -2.66496894E-16 -2.35743177E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.52E+05  2.00E+00  1.40E+00  7.18E-03
     120  7.70919418E-01  7.23911769E-03   9.00000000E+05  1.10125776E-13  3.96233046E-12 -8.49382227E-14  6.03451250E+05 -2.34756875E-15 -2.73462893E-16 -2.45585108E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.69E+05  2.00E+00  1.25E+00  6.44E-03
     122  7.83768075E-01  7.23911755E-03   9.00000000E+05 -4.26402891E-14  4.14004941E-12 -8.80203130E-14  6.03451271E+05 -2.32008423E-15 -2.77664176E-16 -2.55526057E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.72E+05  2.00E+00  1.24E+00  6.35E-03
     124  7.96616732E-01  7.23911741E-03   9.00000000E+05  1.06580570E-13  4.37733183E-12 -8.97395697E-14  6.03451292E+05 -2.46005473E-15 -2.80998098E-16 -2.65609272E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.37E-03
     126  8.09465389E-01  7.23911727E-03   9.00000000E+05  1.10137621E-13  4.39406844E-12 -6.07972247E-14  6.03451313E+05 -2.77197969E-15 -2.84250705E-16 -2.75800248E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.73E+05  2.00E+00  1.23E+00  6.29E-03
     128  8.22314045E-01  7.23911714E-03   9.00000000E+05  1.38562908E-13  4.48549531E-12 -1.05151466E-14  6.03451333E+05 -3.28019946E-15 -2.88777249E-16 -2.86043846E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.58E+05  2.00E+00  1.34E+00  6.89E-03
